# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,
# Sat Oct 12 01:44:50 2013,,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
# COLUMN pl_hostname:    Host Name,,,,,,,,,,,,,,,,,,
# COLUMN pl_letter:      Planet Letter,,,,,,,,,,,,,,,,,,
# COLUMN pl_discmethod:  Discovery Method,,,,,,,,,,,,,,,,,,
# COLUMN pl_orbper:      Orbital Period [days],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbsmax:     Semi-Major Axis [AU],,,,,,,,,,,,,,,,,,
# COLUMN pl_orbincl:     Inclination [deg],,,,,,,,,,,,,,,,,,
# COLUMN pl_radj:        Planet Radius [Jupiter],,,,,,,,,,,,,,,,,,
# COLUMN pl_radlim:      Planet Radius (limit flag),,,,,,,,,,,,,,,,,,
#,,,,,,,,,,,,,,,,,,
rowid,pl_hostname,pl_letter,star,pl_radj,pl_orbsmax,texture,,,,,,,day,pl_orbper,year,pl_discmethod,pl_orbincl,pl_radlim
1,4 UMa,b,0,,0.87,textures/earth.jpg,-,-,-,-,-,-,,269.3,0.737808219,Radial Velocity,,
2,6 Lyn,b,0,,2.18,textures/earth.jpg,-,-,-,-,-,-,,874.774,2.396641096,Radial Velocity,,
3,7 CMa,b,0,,1.9,textures/earth.jpg,-,-,-,-,-,-,,763,2.090410959,Radial Velocity,,
4,11 Com,b,0,,1.29,textures/earth.jpg,-,-,-,-,-,-,,326.03,0.893232877,Radial Velocity,,
5,11 UMi,b,0,,1.54,textures/earth.jpg,-,-,-,-,-,-,,516.22,1.41430137,Radial Velocity,,
6,14 And,b,0,,0.83,textures/earth.jpg,-,-,-,-,-,-,,185.84,0.509150685,Radial Velocity,,
7,14 Her,b,0,,2.77,textures/earth.jpg,-,-,-,-,-,-,,1773.4,4.858630137,Radial Velocity,,
8,16 Cyg B,b,0,,1.681,textures/earth.jpg,-,-,-,-,-,-,,798.5,2.187671233,Radial Velocity,,
9,18 Del,b,0,,2.6,textures/earth.jpg,-,-,-,-,-,-,,993.3,2.721369863,Radial Velocity,,
10,24 Sex,b,0,,1.333,textures/earth.jpg,-,-,-,-,-,-,,452.8,1.240547945,Radial Velocity,,
11,24 Sex,c,0,,2.08,textures/earth.jpg,-,-,-,-,-,-,,883,2.419178082,Radial Velocity,,
12,30 Ari B,b,0,,0.995,textures/earth.jpg,-,-,-,-,-,-,,335.1,0.918082192,Radial Velocity,,
13,42 Dra,b,0,,1.19,textures/earth.jpg,-,-,-,-,-,-,,479.1,1.31260274,Radial Velocity,,
14,47 UMa,b,0,,2.1,textures/earth.jpg,-,-,-,-,-,-,,1078,2.953424658,Radial Velocity,,
15,47 UMa,c,0,,3.6,textures/earth.jpg,-,-,-,-,-,-,,2391,6.550684932,Radial Velocity,,
16,47 UMa,d,0,,11.6,textures/earth.jpg,-,-,-,-,-,-,,14002,38.36164384,Radial Velocity,,
17,51 Peg,b,0,,0.0527,textures/earth.jpg,-,-,-,-,-,-,,4.230785,0.011591192,Radial Velocity,,
18,55 Cnc,b,0,,0.1134,textures/earth.jpg,-,-,-,-,-,-,,14.651,0.040139726,Radial Velocity,,
19,55 Cnc,c,0,,0.237,textures/earth.jpg,-,-,-,-,-,-,,44.38,0.121589041,Radial Velocity,,
20,55 Cnc,d,0,,5.47,textures/earth.jpg,-,-,-,-,-,-,,4909,13.44931507,Radial Velocity,,
21,55 Cnc,e,0,0.194,0.01583,textures/earth.jpg,-,-,-,-,-,-,,0.736546,0.002017934,Radial Velocity,82.5,0
22,55 Cnc,f,0,,0.77,textures/earth.jpg,-,-,-,-,-,-,,261.2,0.715616438,Radial Velocity,,
23,61 Vir,b,0,,0.050201,textures/earth.jpg,-,-,-,-,-,-,,4.215,0.011547945,Radial Velocity,,
